legal_type,urldomain,n,perc
debt_collection,nolo,420,0.08962868117797695
debt_collection,creditcards,344,0.07341015791720017
debt_collection,nerdwallet,299,0.0638070849338455
debt_collection,usnews,245,0.05228339735381989
debt_collection,incharge,208,0.04438753734528383
debt_collection,credit,186,0.03969270166453265
debt_collection,natlbankruptcy,184,0.039265898420828
debt_collection,consumerhelpcentral,171,0.03649167733674776
debt_collection,wusa9,155,0.03307725138711054
debt_collection,consumerrecoverynetwork,136,0.029022620571916347
domestic_violence,thehotline,185,0.06671474936891453
domestic_violence,helpguide,101,0.03642264695275874
domestic_violence,quora,76,0.02740714028128381
domestic_violence,psychologytoday,69,0.024882798413270825
domestic_violence,youtube,67,0.02416155787955283
domestic_violence,theguardian,65,0.023440317345834835
domestic_violence,dvipiowa,62,0.022358456545257845
domestic_violence,womenshealth,57,0.020555355210962856
domestic_violence,ncadv,55,0.01983411467724486
domestic_violence,verywellmind,55,0.01983411467724486
eviction,nolo,449,0.1495171495171495
eviction,findlaw,175,0.05827505827505827
eviction,sfgate,144,0.04795204795204795
eviction,ca,129,0.04295704295704296
eviction,thebalancesmb,90,0.029970029970029972
eviction,avail,61,0.020313020313020312
eviction,hud,60,0.01998001998001998
eviction,usnews,60,0.01998001998001998
eviction,american-apartment-owners-association,59,0.019647019647019648
eviction,landlordology,59,0.019647019647019648
flood_contractor,angieslist,313,0.07498802108289411
flood_contractor,nolo,253,0.060613320555821755
flood_contractor,houselogic,174,0.04168663152850982
flood_contractor,homes,151,0.03617632965979876
flood_contractor,legalmatch,142,0.0340201245807379
flood_contractor,avvo,129,0.03090560613320556
flood_contractor,lendinghome,129,0.03090560613320556
flood_contractor,hg,112,0.026832774317201723
flood_contractor,washingtonpost,98,0.02347867752755151
flood_contractor,usnews,95,0.02275994250119789
