legal_type,full_url,n,perc,avg_serp_rank
debt_collection,consumerfinance.gov,59,0.010228848821081831,8.169491525423728
debt_collection,ftc.gov,39,0.006761442441054091,9.076923076923077
debt_collection,ed.gov,14,0.0024271844660194173,3
debt_collection,usa.gov,13,0.0022538141470180304,10.461538461538462
debt_collection,studentloans.gov,5,8.668515950069349e-4,7.6
debt_collection,trls.org,5,8.668515950069349e-4,0.4
debt_collection,ca.gov,3,5.201109570041609e-4,8.666666666666666
debt_collection,floridalawhelp.org,3,5.201109570041609e-4,8.666666666666666
debt_collection,mass.gov,1,1.7337031900138697e-4,4
domestic_violence,womenshealth.gov,57,0.02161547212741752,5.473684210526316
domestic_violence,justice.gov,17,0.006446719757299962,9.705882352941176
domestic_violence,hhs.gov,14,0.005309063329541145,6.428571428571429
domestic_violence,psc.gov,10,0.0037921880925293893,8.1
domestic_violence,benefits.gov,8,0.0030337504740235114,6.5
domestic_violence,medlineplus.gov,8,0.0030337504740235114,13.5
domestic_violence,nih.gov,7,0.0026545316647705727,6.571428571428571
domestic_violence,hawaii.gov,6,0.0022753128555176336,9.333333333333334
domestic_violence,womenslaw.org,6,0.0022753128555176336,6.166666666666667
domestic_violence,alaska.gov,5,0.0018960940462646946,6.6
domestic_violence,ca.gov,5,0.0018960940462646946,1.2
domestic_violence,healthfinder.gov,5,0.0018960940462646946,2.6
domestic_violence,dojmt.gov,4,0.0015168752370117557,3
domestic_violence,pacthawaii.org,4,0.0015168752370117557,6.25
domestic_violence,youth.gov,4,0.0015168752370117557,8.5
domestic_violence,chicago.gov,2,7.584376185058779e-4,11
domestic_violence,hawaiipolice.com,2,7.584376185058779e-4,6.5
domestic_violence,nccourts.gov,2,7.584376185058779e-4,10
domestic_violence,texas.gov,1,3.792188092529389e-4,11
domestic_violence,tucsonaz.gov,1,3.792188092529389e-4,9
eviction,floridalawhelp.org,41,0.02062374245472837,3.2195121951219514
eviction,lawhelp.org,18,0.009054325955734407,4.944444444444445
eviction,hud.gov,11,0.005533199195171026,3.727272727272727
eviction,ca.gov,5,0.0025150905432595573,9.8
eviction,hawaii.gov,2,0.001006036217303823,5
eviction,nccourts.gov,2,0.001006036217303823,9
eviction,leoncountyso.com,1,5.030181086519115e-4,4
flood_contractor,ca.gov,48,0.009623095429029671,2.5
flood_contractor,ftc.gov,27,0.00541299117882919,7.333333333333333
flood_contractor,hawaii.gov,20,0.00400962309542903,4.05
flood_contractor,myfloridalegal.com,15,0.003007217321571772,4
flood_contractor,attorneygeneral.gov,10,0.002004811547714515,3.1
flood_contractor,usa.gov,8,0.0016038492381716118,8.5
flood_contractor,mn.gov,7,0.0014033680834001604,7.142857142857143
flood_contractor,lawhelp.org,6,0.0012028869286287089,5.666666666666667
flood_contractor,lsc.gov,6,0.0012028869286287089,11.833333333333334
flood_contractor,miamidade.gov,6,0.0012028869286287089,5.833333333333333
flood_contractor,tn.gov,6,0.0012028869286287089,9.5
flood_contractor,fema.gov,5,0.0010024057738572574,5
flood_contractor,wa.gov,5,0.0010024057738572574,6.6
flood_contractor,arkansas.gov,4,8.019246190858059e-4,7.75
flood_contractor,colliercountyfl.gov,4,8.019246190858059e-4,8.75
flood_contractor,ct.gov,4,8.019246190858059e-4,8.5
flood_contractor,louisiana.gov,4,8.019246190858059e-4,4.75
flood_contractor,az.gov,3,6.014434643143544e-4,8.666666666666666
flood_contractor,justice.gov,3,6.014434643143544e-4,11.333333333333334
flood_contractor,mass.gov,3,6.014434643143544e-4,9
flood_contractor,nd.gov,3,6.014434643143544e-4,5.666666666666667
flood_contractor,chicago.gov,2,4.0096230954290296e-4,8
flood_contractor,flcourts.org,2,4.0096230954290296e-4,11
flood_contractor,floridabar.org,2,4.0096230954290296e-4,10.5
flood_contractor,ks.gov,2,4.0096230954290296e-4,9
flood_contractor,oregon.gov,2,4.0096230954290296e-4,10
flood_contractor,ri.gov,2,4.0096230954290296e-4,9
flood_contractor,alabama.gov,1,2.0048115477145148e-4,4
flood_contractor,georgia.gov,1,2.0048115477145148e-4,8
flood_contractor,myfloridacfo.com,1,2.0048115477145148e-4,8
flood_contractor,nj.gov,1,2.0048115477145148e-4,9
flood_contractor,phila.gov,1,2.0048115477145148e-4,9
