legal_type,full_url,n,perc,avg_serp_rank
debt_collection,consumerfinance.gov,59,0.010082023239917977,8.169491525423728
debt_collection,ftc.gov,39,0.0066643882433356115,9.076923076923077
debt_collection,ed.gov,14,0.0023923444976076554,3
debt_collection,usa.gov,13,0.0022214627477785374,10.461538461538462
debt_collection,studentloans.gov,5,8.544087491455912e-4,7.6
debt_collection,trls.org,5,8.544087491455912e-4,0.4
debt_collection,ca.gov,3,5.126452494873548e-4,8.666666666666666
debt_collection,floridalawhelp.org,3,5.126452494873548e-4,8.666666666666666
debt_collection,mass.gov,1,1.7088174982911826e-4,4
domestic_violence,womenshealth.gov,57,0.01800947867298578,5.473684210526316
domestic_violence,justice.gov,17,0.005371248025276461,9.705882352941176
domestic_violence,hhs.gov,14,0.0044233807266982625,6.428571428571429
domestic_violence,womenslaw.org,12,0.0037914691943127963,6.333333333333333
domestic_violence,medlineplus.gov,11,0.0034755134281200632,12.545454545454545
domestic_violence,nih.gov,10,0.00315955766192733,5
domestic_violence,psc.gov,10,0.00315955766192733,8.1
domestic_violence,benefits.gov,8,0.002527646129541864,6.5
domestic_violence,hawaii.gov,6,0.0018957345971563982,9.333333333333334
domestic_violence,alaska.gov,5,0.001579778830963665,6.6
domestic_violence,ca.gov,5,0.001579778830963665,1.2
domestic_violence,dc.gov,5,0.001579778830963665,5.6
domestic_violence,healthfinder.gov,5,0.001579778830963665,2.6
domestic_violence,usa.gov,5,0.001579778830963665,1.4
domestic_violence,dojmt.gov,4,0.001263823064770932,3
domestic_violence,pacthawaii.org,4,0.001263823064770932,6.25
domestic_violence,youth.gov,4,0.001263823064770932,8.5
domestic_violence,hawaiipolice.com,3,9.478672985781991e-4,7
domestic_violence,mentalhealth.gov,3,9.478672985781991e-4,10.333333333333334
domestic_violence,phoenix.gov,3,9.478672985781991e-4,7.666666666666667
domestic_violence,va.gov,3,9.478672985781991e-4,5.333333333333333
domestic_violence,911.gov,2,6.31911532385466e-4,7
domestic_violence,chicago.gov,2,6.31911532385466e-4,11
domestic_violence,coloradosprings.gov,2,6.31911532385466e-4,9
domestic_violence,nccourts.gov,2,6.31911532385466e-4,10
domestic_violence,ilga.gov,1,3.15955766192733e-4,1
domestic_violence,illinoisattorneygeneral.gov,1,3.15955766192733e-4,0
domestic_violence,ncjrs.gov,1,3.15955766192733e-4,5
domestic_violence,nyc.gov,1,3.15955766192733e-4,7
domestic_violence,state.gov,1,3.15955766192733e-4,4
domestic_violence,texas.gov,1,3.15955766192733e-4,11
domestic_violence,tucsonaz.gov,1,3.15955766192733e-4,9
eviction,ca.gov,129,0.031578947368421054,4.395348837209302
eviction,hud.gov,60,0.014687882496940025,5.7
eviction,floridalawhelp.org,41,0.01003671970624235,3.2195121951219514
eviction,lawhelp.org,18,0.004406364749082008,4.944444444444445
eviction,santabarbaraca.gov,8,0.0019583843329253367,7.75
eviction,hawaii.gov,2,4.895960832313342e-4,5
eviction,nccourts.gov,2,4.895960832313342e-4,9
eviction,leoncountyso.com,1,2.447980416156671e-4,4
flood_contractor,ca.gov,48,0.009318578916715201,2.5
flood_contractor,ftc.gov,27,0.0052417006406523005,7.333333333333333
flood_contractor,hawaii.gov,20,0.0038827412152980002,4.05
flood_contractor,myfloridalegal.com,15,0.0029120559114735,4
flood_contractor,attorneygeneral.gov,10,0.0019413706076490001,3.1
flood_contractor,lsc.gov,10,0.0019413706076490001,7.7
flood_contractor,usa.gov,10,0.0019413706076490001,9.8
flood_contractor,lawhelp.org,8,0.0015530964861192001,6.625
flood_contractor,mn.gov,7,0.0013589594253543,7.142857142857143
flood_contractor,miamidade.gov,6,0.0011648223645894002,5.833333333333333
flood_contractor,tn.gov,6,0.0011648223645894002,9.5
flood_contractor,fema.gov,5,9.706853038245001e-4,5
flood_contractor,wa.gov,5,9.706853038245001e-4,6.6
flood_contractor,arkansas.gov,4,7.765482430596001e-4,7.75
flood_contractor,colliercountyfl.gov,4,7.765482430596001e-4,8.75
flood_contractor,ct.gov,4,7.765482430596001e-4,8.5
flood_contractor,flcourts.org,4,7.765482430596001e-4,12
flood_contractor,louisiana.gov,4,7.765482430596001e-4,4.75
flood_contractor,az.gov,3,5.824111822947001e-4,8.666666666666666
flood_contractor,floridabar.org,3,5.824111822947001e-4,12.333333333333334
flood_contractor,justice.gov,3,5.824111822947001e-4,11.333333333333334
flood_contractor,lsnf.org,3,5.824111822947001e-4,4.666666666666667
flood_contractor,mass.gov,3,5.824111822947001e-4,9
flood_contractor,nd.gov,3,5.824111822947001e-4,5.666666666666667
flood_contractor,trls.org,3,5.824111822947001e-4,5
flood_contractor,chicago.gov,2,3.8827412152980003e-4,8
flood_contractor,ks.gov,2,3.8827412152980003e-4,9
flood_contractor,nwfls.org,2,3.8827412152980003e-4,6.5
flood_contractor,oregon.gov,2,3.8827412152980003e-4,10
flood_contractor,ri.gov,2,3.8827412152980003e-4,9
flood_contractor,alabama.gov,1,1.9413706076490002e-4,4
flood_contractor,floridalawhelp.org,1,1.9413706076490002e-4,10
flood_contractor,georgia.gov,1,1.9413706076490002e-4,8
flood_contractor,myfloridacfo.com,1,1.9413706076490002e-4,8
flood_contractor,nj.gov,1,1.9413706076490002e-4,9
flood_contractor,phila.gov,1,1.9413706076490002e-4,9
